dataset,q,prevalence,arm,calibration_size,fdr_mean,fdr_ci95,power_mean,power_ci95,draws_over_q,seeds_over_q
cse2018,0.2,0.01,PACT conditional L=1,12000,0.1475264355752947,0.022345083848691195,0.9916853908808889,0.01420295838594688,0.04,0.0
cse2018,0.2,0.01,PACT conditional L=5,12000,0.12307751226274692,0.02611428484408837,0.9812399013385033,0.02518187778507992,0.0,0.0
cse2018,0.2,0.01,PACT conditional L=100 (shipped),12000,0.09408052373857072,0.02796247502818589,0.9340522643605655,0.10706159941728173,0.0,0.0
cse2018,0.2,0.01,Storey-BH,12000,0.1891375986652412,0.02198495868106154,0.9957890421814886,0.01052616676513518,0.32,0.4
cse2018,0.2,0.01,BY,12000,0.02462275065925288,0.012937648122417178,0.43706983667129407,0.3380966022967434,0.0,0.0
cse2018,0.2,0.01,e-BH,12000,0.12289702325762761,0.3076462536974047,0.288482722755227,0.3025526129048742,0.12,0.2
cse2018,0.2,0.001,marginal BH,12000,0.3314757036320418,0.06872281245360214,0.6542721193024861,0.2545568502062691,1.0,1.0
cse2018,0.2,0.001,PACT conditional L=1,12000,0.22359609784088968,0.06127755771084072,0.2977827159625839,0.2249518555529268,0.56,0.8
cse2018,0.2,0.001,PACT conditional L=5,12000,0.09714129266225141,0.0942195850130234,0.0730231155439115,0.07421591729243597,0.16,0.2
cse2018,0.2,0.001,PACT conditional L=100 (shipped),12000,0.007928571428571429,0.010436350880443621,0.005486480710320023,0.006727260150431184,0.0,0.0
cse2018,0.2,0.001,Storey-BH,12000,0.3316231647862781,0.06882668162124429,0.6548045581882043,0.2545598468501793,1.0,1.0
cse2018,0.2,0.001,BY,12000,0.0014285714285714286,0.003072321615454335,0.0013479722064662508,0.0016319634780390566,0.0,0.0
cse2018,0.2,0.001,e-BH,12000,0.22798173052709267,0.35723169779813363,0.28715866724287975,0.29845746027052206,0.44,0.2
cicids2017,0.1,0.01,marginal BH,12000,0.100061932572274,0.04685546225317827,0.37684959777299054,0.42024286188501236,0.6,0.6
cicids2017,0.1,0.01,PACT conditional L=1,12000,0.07178422180658427,0.0600508823014636,0.17588179840126217,0.2884157023764072,0.36,0.4
cicids2017,0.1,0.01,PACT conditional L=5,12000,0.03732035754131658,0.05977962621626963,0.05403755585732121,0.11084849401880437,0.12,0.0
cicids2017,0.1,0.01,PACT conditional L=100 (shipped),12000,0.004493675501876215,0.009939988425233475,0.0031622164877721077,0.008196376094269696,0.0,0.0
cicids2017,0.1,0.01,Storey-BH,12000,0.09988093139546289,0.04730773184753273,0.3776927186796549,0.41991002153141005,0.6,0.6
cicids2017,0.1,0.01,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017,0.1,0.01,e-BH,12000,0.05413181562727666,0.09333984008848481,0.010993472969009672,0.018051950411704706,0.4,0.4
cicids2017,0.1,0.001,marginal BH,12000,0.18940672938172937,0.1833445471477986,0.01935647421850647,0.024049936576617345,0.72,0.8
cicids2017,0.1,0.001,PACT conditional L=1,12000,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017,0.1,0.001,PACT conditional L=5,12000,0.0,0.0,0.0,0.0,0.0,0.0
