rq,track,method,metric,n,mean,std,ci95_low,ci95_high
rq1,ours,hedl,tpr_at_0_1_fpr,4,0.0,0.0,0.0,0.0
rq1,ours,hedl,tpr_at_1_fpr,4,0.32767222222222225,0.19206637681081656,0.022051756596763172,0.6332926878476813
rq1,ours,hedl,tpr_at_5_fpr,4,0.6252533333333333,0.1629286415036418,0.3659975067442088,0.8845091599224579
rq1,ours,hedl,unknown_auroc,4,0.9098830100517383,0.045387043238917305,0.8376620960200036,0.982103924083473
rq1,ours,hedl,unknown_f1,4,0.582650727485827,0.11782058833873676,0.39517187946331156,0.7701295755083425
rq1,ours,hedl,unknown_precision,4,0.8983951560911025,0.16157228388961226,0.6412975971406842,1.1554927150415208
rq1,ours,hedl,unknown_recall,4,0.4441266666666667,0.11681476847271212,0.2582483025023571,0.6300050308309764
rq2,baselines,closr,aupr_out,5,0.3219700867337544,0.12485601997806607,0.16694086176797954,0.47699931169952925
rq2,baselines,closr,far,5,0.010979392598648616,0.010989032035796879,-0.002665292855308211,0.02462407805260544
rq2,baselines,closr,fpr95,5,0.6718421229390594,0.24779862145204581,0.3641594958775306,0.9795247500005883
rq2,baselines,closr,frr,5,0.8465777777777778,0.18593252459885465,0.6157120558882437,1.0774434996673117
rq2,baselines,closr,known_accuracy,5,0.4244234472311058,0.29899093233693325,0.05317717075895745,0.7956697237032542
rq2,baselines,closr,known_macro_f1,5,0.3615423813412665,0.3108071101347714,-0.024375617698832175,0.7474603803813651
rq2,baselines,closr,known_weighted_f1,5,0.38487897336659704,0.2812908315983899,0.035610274746077863,0.7341476719871163
rq2,baselines,closr,open_world_macro_f1,5,0.33703931614841504,0.28666856149006964,-0.01890671607066713,0.6929853483674973
rq2,baselines,closr,oscr,5,0.33325967701851517,0.256613874305532,0.014631467853749525,0.6518878861832809
rq2,baselines,closr,tpr_at_0_1_fpr,5,0.0128,0.028621670111997313,-0.022738497346531827,0.048338497346531825
rq2,baselines,closr,tpr_at_1_fpr,5,0.13235555555555556,0.14475808683352961,-0.047385349314492814,0.3120964604256039
rq2,baselines,closr,tpr_at_5_fpr,5,0.18382222222222225,0.16330221925869476,-0.0189442642580768,0.38658870870252127
rq2,baselines,closr,unknown_auroc,5,0.707342559623824,0.1058152007044927,0.5759556344463496,0.8387294848012984
rq2,baselines,closr,unknown_f1,5,0.2014938113529663,0.2315808010126893,-0.08605173193968035,0.48903935464561293
rq2,baselines,closr,unknown_precision,5,0.4461538461538462,0.4365003372034187,-0.09583290775544301,0.9881406000631354
rq2,baselines,closr,unknown_recall,5,0.1534222222222222,0.1859325245988547,-0.07744349966731187,0.38428794411175626
rq2,baselines,efc,aupr_out,5,0.3633573284024755,0.10202257542068219,0.2366795694985859,0.490035087306365
rq2,baselines,efc,far,5,0.022759335850145477,0.036781100208924576,-0.0229104320936012,0.06842910379389215
rq2,baselines,efc,fpr95,5,0.736326968363511,0.3245225812713965,0.33337896259466204,1.13927497413236
rq2,baselines,efc,frr,5,0.9566821705426356,0.030197475171947916,0.9191870527849758,0.9941772883002954
rq2,baselines,efc,known_accuracy,5,0.4674022651309303,0.3955028128992342,-0.023679338834369013,0.9584838690962296
rq2,baselines,efc,known_macro_f1,5,0.4411118459035769,0.3953391082048138,-0.0497664918363237,0.9319901836434774
rq2,baselines,efc,known_weighted_f1,5,0.45358098526578094,0.3781888872962033,-0.01600254061065648,0.9231645111422184
rq2,baselines,efc,open_world_macro_f1,5,0.3979240387940898,0.3546419148992934,-0.04242205919040676,0.8382701367785863
rq2,baselines,efc,oscr,5,0.35192132283919103,0.3210986638077877,-0.046775327882273676,0.7506179735606557
rq2,baselines,efc,tpr_at_0_1_fpr,5,0.0016,0.003577708763999664,-0.0028423121683164784,0.006042312168316478
rq2,baselines,efc,tpr_at_1_fpr,5,0.07235555555555556,0.07661892233162289,-0.02277940188479116,0.16749051299590229
rq2,baselines,efc,tpr_at_5_fpr,5,0.39518552971576226,0.23613958147033068,0.10197951285314738,0.6883915465783772
rq2,baselines,efc,unknown_auroc,5,0.6637498227622999,0.1539262656070216,0.4726251203801105,0.8548745251444893
rq2,baselines,efc,unknown_f1,5,0.07271358428805237,0.052645179419560956,0.007345960323805675,0.13808120825229908
rq2,baselines,efc,unknown_precision,5,0.29149051490514905,0.2867611817908492,-0.06457052060691387,0.647551550417212
rq2,baselines,efc,unknown_recall,5,0.04331782945736434,0.03019747517194792,0.005822711699704518,0.08081294721502416
rq2,baselines,renoir_dml,aupr_out,5,0.4096986415484799,0.18001560791913912,0.18617974208052002,0.6332175410164398
rq2,baselines,renoir_dml,far,5,0.024450362693469917,0.022708479548056076,-0.003745938815297851,0.05264666420223768
rq2,baselines,renoir_dml,fpr95,5,0.679767853736344,0.2620273963084881,0.3544178691970238,1.0051178382756643
rq2,baselines,renoir_dml,frr,5,0.7634666666666667,0.2735894734817113,0.42376046715690174,1.1031728661764317
rq2,baselines,renoir_dml,known_accuracy,5,0.4497722597606623,0.2752058620582487,0.10805904874830302,0.7914854707730217
rq2,baselines,renoir_dml,known_macro_f1,5,0.3874956386186553,0.31357400900631505,-0.0018579191369096915,0.7768491963742203
rq2,baselines,renoir_dml,known_weighted_f1,5,0.4242672508847809,0.2635342675601016,0.09704623856240396,0.7514882632071578
rq2,baselines,renoir_dml,open_world_macro_f1,5,0.36374701927676584,0.29574163039117674,-0.0034647159500431624,0.7309587545035748
rq2,baselines,renoir_dml,oscr,5,0.36836889237772386,0.28495730208829995,0.014547669349406878,0.7221901154060408
rq2,baselines,renoir_dml,tpr_at_0_1_fpr,5,0.0016,0.003577708763999664,-0.0028423121683164784,0.006042312168316478
rq2,baselines,renoir_dml,tpr_at_1_fpr,5,0.19946666666666665,0.24433419736090975,-0.10391430972638874,0.5028476430597221
rq2,baselines,renoir_dml,tpr_at_5_fpr,5,0.397467700258398,0.33278683642970525,-0.015741733612492703,0.8106771341292887
rq2,baselines,renoir_dml,unknown_auroc,5,0.7417533922833107,0.1650635205973861,0.5367999613407706,0.9467068232258509
rq2,baselines,renoir_dml,unknown_f1,5,0.2789176043131739,0.3050788834667246,-0.09988786189966037,0.6577230705260082
rq2,baselines,renoir_dml,unknown_precision,5,0.47282913165266105,0.31811159645483095,0.07784141492357255,0.8678168483817496
rq2,baselines,renoir_dml,unknown_recall,5,0.23653333333333332,0.27358947348171125,-0.10317286617643162,0.5762395328430983
rq2,ours,hedl,aupr_out,5,0.32223713862290715,0.18265545619608367,0.09544043458874496,0.5490338426570693
rq2,ours,hedl,far,5,0.04154669728520932,0.03210671857310716,0.0016809407325219586,0.08141245383789669
rq2,ours,hedl,fpr95,5,0.6746182508957126,0.2839978514775317,0.3219883431488411,1.0272481586425841
rq2,ours,hedl,frr,5,0.7829333333333333,0.2320505692013417,0.4948044957933355,1.071062170873331
rq2,ours,hedl,known_accuracy,5,0.24610858842106106,0.21506304131741788,-0.020927447326985843,0.513144624169108
rq2,ours,hedl,known_macro_f1,5,0.2005542435648615,0.1774912754774042,-0.019830283190698322,0.4209387703204214
rq2,ours,hedl,known_weighted_f1,5,0.20465452356133856,0.17391838922352737,-0.011293678963105291,0.4206027260857824
rq2,ours,hedl,open_world_macro_f1,5,0.20235276499194307,0.17203587734972114,-0.011257990312604466,0.41596352029649064
rq2,ours,hedl,oscr,5,0.20119292953506326,0.18278886953386234,-0.025769429037498875,0.4281552881076254
rq2,ours,hedl,scorer_density_reference_size,5,500.0,0.0,500.0,500.0
rq2,ours,hedl,scorer_density_selection_margin,5,0.1,0.0,0.1,0.1
rq2,ours,hedl,scorer_proxy_density_auroc,5,0.6818686652380953,0.08972068034867776,0.570465726554794,0.7932716039213966
rq2,ours,hedl,scorer_proxy_evidential_auroc,5,0.499430119047619,0.0004178707010146015,0.49891126404226505,0.499948974052973
rq2,ours,hedl,tpr_at_0_1_fpr,5,0.0,0.0,0.0,0.0
rq2,ours,hedl,tpr_at_1_fpr,5,0.035555555555555556,0.04868644955601477,-0.024896656058511733,0.09600776716962284
rq2,ours,hedl,tpr_at_5_fpr,5,0.23533333333333334,0.27316661582265134,-0.10384781904481216,0.5745144857114788
rq2,ours,hedl,unknown_auroc,5,0.6912363968758499,0.20437977345646458,0.4374653902139161,0.9450074035377838
rq2,ours,hedl,unknown_f1,5,0.26108100876312795,0.26578813286778114,-0.06893854696859508,0.591100564494851
rq2,ours,hedl,unknown_precision,5,0.35166408668730653,0.2926920852667142,-0.011761138147559524,0.7150893115221726
rq2,ours,hedl,unknown_recall,5,0.21706666666666666,0.23205056920134168,-0.07106217087333108,0.5051955042066644
rq3,baselines,closr,aupr_out,7,0.2057302437217353,0.2678294182826347,-0.04197065505145356,0.4534311424949241
rq3,baselines,closr,far,7,0.004822182037371911,0.004510738260125305,0.0006504449357195045,0.008993919139024316
rq3,baselines,closr,fpr95,7,0.29603870110199226,0.08229628465565769,0.219927332135836,0.3721500700681485
rq3,baselines,closr,frr,7,1.0,0.0,1.0,1.0
rq3,baselines,closr,known_accuracy,7,0.4888873433177231,0.05023433642124286,0.44242833085895855,0.5353463557764877
rq3,baselines,closr,known_macro_f1,7,0.4535348378961479,0.05878753813143463,0.3991654332012059,0.5079042425910899
rq3,baselines,closr,known_weighted_f1,7,0.4528279473176265,0.05006470659056385,0.4065258162865533,0.49913007834869966
rq3,baselines,closr,latency_ms_per_flow,1,0.053319200000260025,0.0,0.053319200000260025,0.053319200000260025
rq3,baselines,closr,open_world_macro_f1,7,0.4120612379219323,0.06061150406198919,0.3560049460910399,0.46811752975282467
rq3,baselines,closr,oscr,7,0.29695196721486894,0.014850906470936202,0.28321716950655473,0.31068676492318315
rq3,baselines,closr,parameters,1,226112.0,0.0,226112.0,226112.0
rq3,baselines,closr,realized_prevalence,6,0.15210731281997758,0.19303036808066032,-0.05046563502610757,0.35468026066606273
rq3,baselines,closr,requested_prevalence,6,0.15183333333333335,0.19327743444765264,-0.05099889476369315,0.3546655614303599
