rq,track,method,metric,n,mean,std,ci95_low,ci95_high
rq1,ours,hedl,frr,4,0.5447622222222221,0.121685533838986,0.3511333834360101,0.7383910610084342
rq1,ours,hedl,known_accuracy,4,0.7908394777959995,0.3602001155833524,0.21768071429539737,1.3639982412966016
rq1,ours,hedl,known_macro_f1,4,0.6974243308931661,0.3286175477958438,0.17452048047593727,1.220328181310395
rq1,ours,hedl,known_weighted_f1,4,0.7784545945686943,0.38209424830862215,0.1704573801686231,1.3864518089687654
rq1,ours,hedl,open_world_macro_f1,4,0.6272010409964821,0.2652905838733006,0.20506452175933687,1.0493375602336275
rq1,ours,hedl,oscr,4,0.7301235230476535,0.33010860491328764,0.20484706802323616,1.2553999780720708
rq1,ours,hedl,scorer_density_reference_size,4,3197.0,1798.0,335.9807715494476,6058.019228450552
rq1,ours,hedl,scorer_density_selection_margin,4,0.175,0.05,0.0954388423678934,0.25456115763210657
rq1,ours,hedl,scorer_proxy_density_auroc,4,0.841198247508049,0.07188971736794271,0.7268056647952794,0.9555908302208185
rq1,ours,hedl,scorer_proxy_evidential_auroc,4,0.8641062428546904,0.24305395581841602,0.4773531610151691,1.2508593246942117
rq1,ours,hedl,tpr_at_0_1_fpr,4,0.0,0.0,0.0,0.0
rq1,ours,hedl,tpr_at_1_fpr,4,0.31656111111111107,0.21085156387877102,-0.01895077910359072,0.6520730013258129
rq1,ours,hedl,tpr_at_5_fpr,4,0.69192,0.16727876932434277,0.42574214930562343,0.9580978506943765
rq1,ours,hedl,unknown_auroc,4,0.9130209831897114,0.045186339886225564,0.8411194329795926,0.9849225333998302
rq1,ours,hedl,unknown_f1,4,0.5918567113753552,0.11535836216141675,0.40829581465323295,0.7754176080974775
rq1,ours,hedl,unknown_precision,4,0.9034503031499261,0.15147148017187256,0.662425376935469,1.1444752293643834
rq1,ours,hedl,unknown_recall,4,0.4552377777777778,0.12168553383898603,0.2616089389915657,0.6488666165639899
