rq,track,condition,protocol,dataset,scenario,seed,method,metric,value
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,tpr_at_5_fpr,0.1111111111111111
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,unknown_auroc,0.30036630036630035
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,unknown_f1,0.13559322033898305
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,unknown_precision,0.2857142857142857
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,unknown_recall,0.08888888888888889
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,aupr_out,0.3644565379074199
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,closed_reference_macro_f1,0.23862469656180327
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,delta_f1,0.4886789753275965
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,far,0.004395604395604396
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,fpr95,0.810989010989011
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,frr,0.9333333333333333
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,known_accuracy,0.756043956043956
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,known_macro_f1,0.7273036718893998
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,known_weighted_f1,0.7275580885502289
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,open_world_macro_f1,0.6567114729532406
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,oscr,0.49352869352869355
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,tpr_at_0_1_fpr,0.0
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,tpr_at_1_fpr,0.08888888888888889
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,tpr_at_5_fpr,0.5777777777777777
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,unknown_auroc,0.659023199023199
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,unknown_f1,0.12
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,unknown_precision,0.6
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,efc,unknown_recall,0.06666666666666667
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,aupr_out,0.5732539202020392
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,closed_reference_macro_f1,0.23862469656180327
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,delta_f1,0.6594157690915113
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,far,0.01098901098901099
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,fpr95,0.11648351648351649
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,frr,0.9111111111111111
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,known_accuracy,0.9032967032967033
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,known_macro_f1,0.8980404656533146
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,known_weighted_f1,0.8987785510288426
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,open_world_macro_f1,0.8068496333711753
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,oscr,0.8762637362637362
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,tpr_at_0_1_fpr,0.0
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,tpr_at_1_fpr,0.044444444444444446
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,tpr_at_5_fpr,0.7333333333333333
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,unknown_auroc,0.9586813186813187
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,unknown_f1,0.14814814814814814
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,unknown_precision,0.4444444444444444
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,ori,unknown_recall,0.08888888888888889
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,aupr_out,0.5844689119791906
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,closed_reference_macro_f1,0.23862469656180327
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,delta_f1,0.3898217937658981
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,far,0.01978021978021978
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,fpr95,0.5406593406593406
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,frr,0.6666666666666666
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,known_accuracy,0.6659340659340659
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,known_macro_f1,0.6284464903277014
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,known_weighted_f1,0.6282198885319734
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,open_world_macro_f1,0.5954004465711142
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,oscr,0.6049328449328449
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,tpr_at_0_1_fpr,0.044444444444444446
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,tpr_at_1_fpr,0.3333333333333333
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,tpr_at_5_fpr,0.7777777777777778
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,unknown_auroc,0.8814163614163614
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,unknown_f1,0.43478260869565216
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,unknown_precision,0.625
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,renoir_dml,unknown_recall,0.3333333333333333
