case,shots,seed,method,unknown_auroc,fpr95,aupr_out,oscr,open_world_macro_f1
unsw_to_ton,"2000 luong, lan 0%",73,hedl,0.5317044384615384,0.8897692307692308,0.2779840253213527,0.2054088153846154,0.10010269366557217
unsw_to_ton,"2000 luong, lan 0%",73,renoir_dml,0.48668553076923077,0.8126923076923077,0.2994875408636458,0.20071650769230767,0.13077487982310035
unsw_to_ton,"400 luong, lan 0%",13,cd_zd_srl,0.49334717123287675,0.9007534246575343,0.2552817180635939,0.2339737191780822,0.07428687583819278
unsw_to_ton,"400 luong, lan 0%",13,closr,0.587018993150685,0.9039041095890411,0.29076047566139196,0.2815920890410959,0.14665973899828438
unsw_to_ton,"400 luong, lan 0%",13,efc,0.668511,0.923972602739726,0.5845610020956893,0.0013112602739726027,0.033167635527274905
unsw_to_ton,"400 luong, lan 0%",13,foss,0.38907626027397263,0.9504794520547946,0.20481550613241595,0.2999583219178082,0.24197367943523918
unsw_to_ton,"400 luong, lan 0%",13,hedl,0.5046650410958904,0.8940410958904109,0.24074037543151927,0.2716336164383562,0.08072157560413794
unsw_to_ton,"400 luong, lan 0%",13,renoir_dml,0.33110091780821915,0.9993150684931507,0.1880235114510816,0.19293175342465754,0.1796805376967994
unsw_to_ton,"400 luong, lan 0%",37,cd_zd_srl,0.5249140068493151,0.7712328767123288,0.24270070500798266,0.19112326712328767,0.0631422199682713
unsw_to_ton,"400 luong, lan 0%",37,closr,0.6045041986301369,0.856986301369863,0.2812130363616402,0.2840107876712329,0.10568787363985445
unsw_to_ton,"400 luong, lan 0%",37,efc,0.6687104109589042,0.9236986301369863,0.5864745074743123,0.001151986301369863,0.026600194363489062
unsw_to_ton,"400 luong, lan 0%",37,foss,0.42226771917808215,0.9317123287671233,0.2130745191565831,0.30649334246575344,0.2594654817239295
unsw_to_ton,"400 luong, lan 0%",37,hedl,0.5905771164383562,0.9158219178082192,0.3615299108564516,0.2653447808219178,0.07034054757602524
unsw_to_ton,"400 luong, lan 0%",37,renoir_dml,0.251676404109589,0.9988356164383562,0.17060555693527701,0.10110558219178083,0.14116206462868156
unsw_to_ton,"400 luong, lan 0%",73,cd_zd_srl,0.38527196575342465,0.8562328767123287,0.20040970583406892,0.15886064383561646,0.068601760129017
unsw_to_ton,"400 luong, lan 0%",73,closr,0.6168804999999999,0.8570547945205479,0.3426053700031209,0.29215530821917807,0.135673660582948
unsw_to_ton,"400 luong, lan 0%",73,efc,0.6670375958904111,0.9819178082191781,0.5866035537174368,0.019438260273972604,0.02753112269308402
unsw_to_ton,"400 luong, lan 0%",73,foss,0.38485928767123284,0.9284931506849315,0.20245124892665217,0.24759032876712328,0.2078576115277109
unsw_to_ton,"400 luong, lan 0%",73,hedl,0.49043596575342463,0.8949315068493151,0.22891576329605384,0.26919538356164385,0.10832521846155603
unsw_to_ton,"400 luong, lan 0%",73,renoir_dml,0.29792592465753426,0.9997260273972602,0.1880995892274901,0.08426466438356164,0.07237125286938247
